Train Loss	Train Loss X	Train Loss U	Mask	Total Acc.	Used Acc.	Test Loss	Test Acc.	Test GM.	
0.118031	0.002100	0.115931	0.940281	0.947344	0.966366	2.211831	68.570000	0.616500	
0.119694	0.002615	0.117079	0.938406	0.946562	0.966632	2.231474	68.240000	0.609445	
0.116908	0.002015	0.114892	0.937906	0.947812	0.966548	2.241823	68.630000	0.615548	
0.120254	0.003169	0.117085	0.935375	0.946937	0.966658	2.221231	68.460000	0.616907	
0.120539	0.002770	0.117769	0.938844	0.947812	0.966615	2.210180	68.340000	0.617296	
0.123264	0.002520	0.120744	0.938875	0.947688	0.966482	2.212446	68.630000	0.619490	
0.117220	0.001994	0.115225	0.937562	0.946781	0.966502	2.217571	68.600000	0.618134	
0.121405	0.002109	0.119296	0.939094	0.948063	0.965891	2.225813	68.740000	0.620991	
0.122170	0.002236	0.119934	0.940875	0.948406	0.965624	2.257265	68.750000	0.615456	
0.120099	0.002179	0.117920	0.940406	0.948125	0.966172	2.279475	68.270000	0.608387	
0.114360	0.002056	0.112304	0.942156	0.947969	0.966268	2.274840	68.160000	0.608705	
0.121212	0.002789	0.118423	0.939594	0.947156	0.966142	2.264742	68.360000	0.608721	
0.118210	0.002189	0.116021	0.941656	0.948844	0.966714	2.273128	68.510000	0.608652	
0.121726	0.002479	0.119247	0.938562	0.947781	0.965905	2.277027	68.470000	0.610452	
0.118307	0.002189	0.116118	0.940031	0.947063	0.966358	2.256941	68.570000	0.614844	
0.116269	0.002289	0.113980	0.942406	0.946937	0.965514	2.264929	68.460000	0.616975	
0.123202	0.002583	0.120619	0.938688	0.947656	0.966476	2.281484	68.490000	0.617692	
0.121517	0.004387	0.117129	0.937063	0.947125	0.965717	2.277766	68.240000	0.612681	
0.114319	0.001954	0.112364	0.939719	0.947812	0.966114	2.252822	68.390000	0.614907	
0.118901	0.002418	0.116483	0.940281	0.948281	0.965735	2.247648	68.570000	0.619487	
0.115382	0.002094	0.113288	0.946031	0.949469	0.964787	2.234689	68.810000	0.622499	
0.117695	0.002241	0.115453	0.942500	0.947250	0.965285	2.299387	68.490000	0.617139	
0.121589	0.002992	0.118597	0.940438	0.948000	0.965209	2.326851	68.370000	0.613292	
0.118183	0.002531	0.115653	0.939781	0.947812	0.965817	2.264944	68.550000	0.618558	
0.117205	0.002596	0.114609	0.943000	0.948313	0.965237	2.282399	68.710000	0.618602	
0.115693	0.002042	0.113651	0.942625	0.948063	0.965091	2.345220	68.420000	0.612501	
0.118766	0.001973	0.116793	0.942562	0.948187	0.965553	2.287715	68.370000	0.615545	
0.117085	0.001830	0.115256	0.941719	0.947937	0.965024	2.282429	68.510000	0.617318	
0.118407	0.001958	0.116449	0.944844	0.949313	0.965404	2.259239	68.540000	0.619588	
0.116857	0.002111	0.114745	0.943125	0.948875	0.964944	2.280402	68.770000	0.621691	
0.115940	0.003154	0.112786	0.940250	0.947156	0.965435	2.342900	68.540000	0.615901	
0.120279	0.001670	0.118610	0.943219	0.947937	0.965047	2.305430	68.790000	0.621901	
0.117704	0.002149	0.115554	0.943937	0.949531	0.966563	2.320454	68.800000	0.621071	
0.118353	0.002710	0.115643	0.941375	0.948438	0.966937	2.283340	69.190000	0.630193	
0.118532	0.002468	0.116064	0.938031	0.945844	0.965953	2.286304	69.370000	0.632270	
0.117063	0.002296	0.114767	0.939187	0.948594	0.965762	2.208532	69.480000	0.635933	
0.116733	0.002344	0.114389	0.942844	0.948625	0.966524	2.145251	69.840000	0.639081	
0.117995	0.002661	0.115334	0.941750	0.947781	0.965988	2.151270	69.690000	0.634486	
0.117154	0.002440	0.114715	0.941531	0.948063	0.966112	2.166107	69.460000	0.630330	
0.113528	0.002236	0.111292	0.942813	0.948125	0.965827	2.266682	68.620000	0.616268	
0.118498	0.001871	0.116627	0.941562	0.947812	0.965151	2.288839	68.590000	0.617181	
0.114617	0.001895	0.112722	0.943406	0.947500	0.964755	2.282732	68.610000	0.618587	
0.117474	0.002482	0.114992	0.940187	0.946812	0.964834	2.293849	68.550000	0.619067	
0.115105	0.002313	0.112792	0.939688	0.948344	0.965614	2.265416	68.790000	0.623620	
0.117335	0.003398	0.113937	0.936469	0.947906	0.965729	2.230073	69.000000	0.626448	
0.116505	0.002131	0.114374	0.939969	0.947594	0.965192	2.204860	69.120000	0.629673	
0.114158	0.002133	0.112025	0.942688	0.948219	0.964563	2.228738	68.730000	0.622080	
0.115668	0.001935	0.113733	0.943531	0.948438	0.964694	2.287443	68.430000	0.614616	
0.114209	0.001654	0.112555	0.941375	0.949000	0.966040	2.262931	68.560000	0.616247	
0.117960	0.002672	0.115288	0.940125	0.948125	0.966527	2.281901	68.680000	0.617614	
0.119319	0.002674	0.116644	0.942594	0.948906	0.965388	2.223286	69.150000	0.624323	
0.117270	0.002245	0.115025	0.941500	0.949031	0.967373	2.236253	69.180000	0.626832	
0.118309	0.003071	0.115238	0.943719	0.948875	0.965032	2.211032	69.060000	0.624783	
0.117000	0.002295	0.114705	0.944250	0.948125	0.965019	2.245455	68.530000	0.615007	
0.116253	0.001966	0.114287	0.944000	0.948969	0.965671	2.244775	68.870000	0.620035	
0.117159	0.002246	0.114913	0.942594	0.949125	0.965620	2.233718	68.960000	0.622980	
0.117837	0.002717	0.115120	0.942781	0.947937	0.964898	2.197500	68.870000	0.625857	
0.116640	0.001834	0.114806	0.942750	0.948656	0.965394	2.201133	69.230000	0.634592	
0.114166	0.002959	0.111207	0.942031	0.948156	0.965401	2.239312	68.950000	0.630535	
0.117758	0.001974	0.115784	0.941219	0.948187	0.966035	2.208649	69.430000	0.635311	
0.113602	0.001794	0.111808	0.945719	0.949969	0.966064	2.208733	69.200000	0.630486	
0.119182	0.002960	0.116222	0.941688	0.949094	0.965786	2.199269	69.140000	0.626975	
0.114058	0.002292	0.111766	0.942156	0.949313	0.966201	2.193731	69.020000	0.626826	
0.112299	0.001764	0.110535	0.941469	0.948313	0.965380	2.198001	69.360000	0.628270	
0.113198	0.001795	0.111403	0.942656	0.948469	0.965854	2.173142	69.670000	0.631952	
0.114026	0.002425	0.111601	0.943906	0.948125	0.964311	2.182536	69.360000	0.627436	
0.119879	0.002840	0.117039	0.939312	0.947469	0.965134	2.181765	69.120000	0.627068	
0.108927	0.001837	0.107090	0.942813	0.948625	0.965065	2.134318	69.420000	0.633964	
0.118584	0.002945	0.115639	0.946219	0.949219	0.964662	2.213946	68.970000	0.628571	
0.112759	0.002014	0.110745	0.943375	0.948438	0.963562	2.225304	68.910000	0.627504	
0.114711	0.002227	0.112484	0.946594	0.949156	0.965402	2.228313	69.030000	0.626686	
0.117507	0.002312	0.115196	0.943094	0.948781	0.965638	2.223999	69.110000	0.625945	
0.113287	0.001508	0.111779	0.947187	0.948438	0.964830	2.178349	69.430000	0.632195	
